Country Name,Country Code,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Brunei Darussalam,BRN,15381.31391,14678.07159,14220.63634,16046.98158,16913.93536,16779.33847,12784.76622,14205.77372,18154.83493,16616.79805,17016.94349,18758.98089,22131.94606,26337.91811,31157.68845,32707.70431,37798.3935,27726.48105,34852.02398,46377.88114,46973.93793,43970.53194
Bulgaria,BGR,1211.980878,1278.247173,1148.494399,1554.046931,1208.850233,1346.91277,1771.993943,1643.609895,1609.280586,1762.455968,2079.228975,2693.75876,3353.564149,3852.977756,4455.690224,5932.899677,7296.122479,6955.987733,6843.263289,7813.803499,7378.025539,7674.860559
Burkina Faso,BFA,240.9634032,244.1271502,193.0702756,235.832244,249.3587559,229.4880613,255.709631,265.1550248,226.4759423,235.4817514,260.9837492,323.9625643,371.4970215,406.673556,422.4223375,474.08854,567.7341867,537.2634287,575.0118818,667.1734195,673.0625112,698.3350349
Burundi,BDI,183.7173204,155.9216027,150.8028052,160.3499893,137.2141027,151.5321043,137.2515028,121.9977308,128.6355365,126.2170813,115.2798803,106.0169747,119.460135,140.8151356,154.9245257,159.2654713,182.6878013,190.3942037,214.2309908,240.6144835,244.1964862,259.3652082
Cabo Verde,CPV,996.3399903,1331.125879,1073.443426,1251.809027,1256.49316,1197.175871,1242.987493,1379.073093,1229.044456,1258.557222,1363.592698,1759.256131,1970.891373,2049.615979,2316.47949,3145.653941,3698.313412,3517.385582,3393.927212,3766.111473,3497.689697,3648.936321
Cambodia,KHM,,253.1931946,269.567076,321.7746398,318.1495354,303.6859047,268.0430434,294.865212,299.5622376,319.6924597,337.8042535,361.0703476,407.0849062,472.4488559,537.8485827,629.2828776,742.9429233,735.4075239,782.6927899,879.1512441,946.4766787,1024.60887
Cameroon,CMR,890.5636811,1027.567353,680.6371437,626.9560402,679.7651939,668.972082,637.3608604,675.9238649,583.0948382,589.2039195,648.3996054,791.1064754,892.8987777,915.0912877,965.3686883,1070.954675,1191.709554,1164.717254,1147.242347,1258.924651,1222.192142,1331.200021
Canada,CAN,20771.25035,20017.42985,19859.20398,20577.48939,21183.22008,21770.13408,20887.83947,22167.22585,24124.16917,23691.59472,24167.80431,28172.14883,31979.87195,36189.58838,40386.69948,44544.5268,46596.33599,40773.45436,47445.76193,52083.82622,52495.28847,52266.17568
Cayman Islands,CYM,,,,,30190.66868,,,,,,,,,,64104.7516,,,,,,,
Central African Republic,CAF,457.0583079,403.2931149,261.6021372,334.3654767,294.9204314,268.0862195,270.4307455,273.5813579,245.4343849,245.5632726,256.8506088,290.5096583,318.4837946,332.9466401,353.8944517,404.1131819,463.8276186,454.3693169,446.8002046,488.3573422,472.8182181,322.3665933
Chad,TCD,296.3458445,223.1712788,174.1945723,206.5117899,221.9471769,206.119566,224.8400976,190.8154106,166.0080155,197.3022751,220.7953519,292.5815828,454.6552834,660.1815568,712.0468098,801.4015712,929.2795527,803.9143366,895.8780349,988.4431893,972.6794135,985.095322
Channel Islands,CHI,,,,,,,40538.06446,42406.93285,43299.40114,41609.01948,44158.04026,48227.66551,55844.11669,57209.24916,62260.22555,73568.23483,,,,,,
Chile,CHL,3277.669086,3461.435092,3942.967594,5026.720634,5263.191366,5674.153008,5367.211824,4872.692148,5229.177098,4709.9234,4566.523326,4948.74818,6323.75764,7728.611897,9500.835162,10513.54071,10791.02019,10217.31403,12785.05187,14582.17052,15253.33083,15764.75545
China,CHN,366.4602759,377.3895183,473.4927622,609.6567653,709.4134628,781.743728,828.5804103,873.2872953,959.3721081,1053.108024,1148.508057,1288.642924,1508.668462,1753.4178,2099.229676,2695.366223,3471.247547,3838.434292,4560.512487,5633.796106,6337.882993,7077.770594
