Country me,Country Code,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Bermuda,BMU,-0.724394407,0.536148682,0.693566174,0.715572569,0.639001132,0.610152275,0.734522406,0.55961137,0.890208774,1.079335217,0.650636983,0.654327136,0.65321131,0.647413399,0.573530641,0.564095738,0.591576775,0.55458514,-0.783118104,-0.863616496,0.361775877,0.312791571
Bhutan,BTN,3.321652991,2.74721985,3.01470466,3.933324245,5.059648094,5.963103721,6.65257732,6.964052329,6.997708307,6.992824505,7.025352056,6.946997276,6.760696503,6.351771481,4.774741601,4.51734878,4.299131479,4.132700363,4.014965463,3.903344896,3.730073904,3.556330601
Bolivia,BOL,3.668991737,3.043144252,3.031233422,3.014069472,2.795628303,2.78156027,2.756790354,2.724167683,2.682332509,2.635191689,2.594752199,2.549399497,2.506893529,2.465147285,2.426899258,2.385793873,2.346868967,2.31201327,2.277677092,2.244006651,2.212437312,2.179731258
Bosnia and Herzegovi,BIH,-3.182622015,-3.844085096,-3.715404802,-2.924005511,-1.838212187,-0.877984862,-0.144873268,0.171282952,0.170654692,0.12749871,0.172554627,0.184206842,0.170474595,0.142372856,0.080087169,-0.003723563,-0.014895637,0.003657617,0.045143921,0.088699286,0.11960279,0.14615646
Botswa,BWA,5.311550817,4.494406483,4.327258071,4.131817826,3.947807564,3.774120414,3.600999418,3.417384154,3.242250552,3.055031014,1.935784031,1.749027169,1.81605396,1.949399411,2.106891391,2.237424759,2.339275018,2.394835101,2.415092529,2.435881068,2.452322988,2.448265062
Brazil,BRA,2.601747545,2.525991572,2.482761952,2.459706614,2.441161731,2.503287705,2.473023484,2.426612639,2.370310219,1.930347794,1.861359996,1.809651524,1.73247257,1.640158288,1.542783311,1.454246793,1.384527005,1.338474956,1.313445452,1.294678963,1.263159597,1.231200625
British Virgin Islands,VGB,3.045320326,2.714708898,2.642956045,2.722738298,2.859607083,2.957654188,3.008027102,2.955999599,2.89431968,2.790346843,2.725570575,2.824098962,3.078135766,3.427047458,3.805499887,4.064105235,4.127282616,3.921048215,3.559392617,3.150440733,2.821959707,2.578468085
Brunei Darussalam,BRN,3.66354421,3.582721793,3.486882565,3.362965254,3.236330297,3.115868741,2.995627272,2.874850288,2.758379464,2.636727092,2.527816245,2.431216732,2.366967496,2.328025925,2.296004058,2.257760246,2.213179173,2.157348144,2.093606532,2.027577305,1.969489853,1.908280568
Bulgaria,BGR,-0.567024807,-0.389884232,-0.002997727,-0.112909661,-0.184328579,-0.279961453,-0.341007759,-0.235410718,-0.171157651,-1.464870879,-1.394749788,-0.063104019,-0.03805354,-0.033162294,-0.037751049,-1.529713428,-0.220466621,-0.169290725,-0.188314948,-0.177597399,-0.12181249,-0.109810832
Burki Faso,BFA,4.523985625,4.528206499,4.540490358,4.553141125,4.573193902,5.777626818,6.726142688,6.718180561,6.712772281,6.678043629,6.665499851,6.652290138,6.667182677,6.667490077,6.681521308,6.68177508,6.592715333,6.479628848,6.343387231,6.212555874,6.084129814,5.958066477
Burundi,BDI,5.109422731,4.858324101,4.639229944,4.466860386,4.250913852,4.105365144,4.160205273,4.299025775,4.721071422,5.193984445,5.601330429,5.884325777,6.018020156,6.045633521,6.063790746,6.080353285,6.086958538,6.037277801,5.999054619,5.933526224,5.865645256,5.814125262
Cabo Verde,CPV,4.626606191,4.738459681,4.735117176,4.641212938,4.526013543,4.404726952,4.259515373,4.07482882,3.865799588,3.535148158,3.343577158,3.116965417,2.859332336,2.58301505,2.294233045,2.042767165,1.917782467,1.943340522,2.088838353,2.241070534,2.360909166,2.424879814
Cambodia,KHM,5.697232882,5.689032203,5.561255939,5.354235769,5.144374344,4.941227655,4.255507696,3.058287081,2.861101936,2.664159551,2.478778842,2.333676375,2.24436121,2.194349432,2.148264563,2.112276214,2.098125627,2.179256619,2.267750344,2.374665127,2.473342673,2.546734794
Cameroon,CMR,4.341377952,4.284091337,4.233457481,4.177000267,4.123321217,4.06629624,4.02029733,3.984247123,3.951936541,3.915205181,3.886395618,3.859155035,3.837825605,3.813000117,3.792919046,3.763012883,3.738884978,3.710485976,3.686589652,3.659171281,3.630051628,3.597046125
Cada,CAN,1.57528573,1.438396725,1.300261364,1.164742225,1.431860375,1.554802761,1.354590186,1.307641359,1.355943935,1.426376381,0.994818992,1.09507088,1.09952778,1.082053833,0.91035488,1.197738536,1.308319243,1.367975607,1.335367053,1.207298991,1.402223598,1.37585034
Cayman Islands,CYM,4.443683345,4.460724532,4.780578774,5.240397331,5.715665975,5.964360244,5.854026071,5.334460431,4.602321485,3.840381579,3.236749013,2.842414902,2.715234682,2.760751636,2.84861787,2.861053404,2.768243429,2.537212866,2.229722408,1.911039611,1.651191745,1.461744366
