Country me,Country Code,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Cabo Verde,CPV,45.973,46.902,47.834,48.768,49.704,50.637,51.572,52.505,53.435,54.291,55.146,55.997,56.846,57.689,58.529,59.363,60.194,61.016,61.833,62.624,63.389,64.127
Cambodia,KHM,16.234,16.587,16.946,17.311,17.683,18.06,18.355,18.47,18.586,18.703,18.82,18.937,19.055,19.174,19.293,19.413,19.533,19.666,19.81,19.967,20.137,20.319
Cameroon,CMR,40.817,41.399,41.985,42.573,43.164,43.755,44.348,44.944,45.542,46.139,46.738,47.338,47.94,48.541,49.143,49.741,50.337,50.928,51.516,52.099,52.677,53.25
Cada,CAN,76.887,77.152,77.414,77.675,77.951,78.34,78.724,79.103,79.478,79.81,79.888,79.967,80.045,80.122,80.213,80.396,80.578,80.758,80.937,81.115,81.293,81.472
Cayman Islands,CYM,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Central African Republic,CAF,36.987,37.068,37.149,37.231,37.312,37.394,37.475,37.557,37.639,37.72,37.802,37.884,37.966,38.066,38.183,38.318,38.47,38.64,38.828,39.034,39.258,39.5
Chad,TCD,21.235,21.408,21.44,21.473,21.506,21.538,21.571,21.604,21.637,21.67,21.702,21.735,21.768,21.801,21.834,21.868,21.901,21.934,21.983,22.048,22.129,22.227
Channel Islands,CHI,31.076,30.891,30.706,30.522,30.4,30.416,30.432,30.449,30.465,30.495,30.557,30.619,30.681,30.743,30.805,30.867,30.929,30.992,31.054,31.116,31.189,31.271
Chile,CHL,83.564,83.896,84.223,84.545,84.861,85.172,85.477,85.778,86.073,86.363,86.648,86.922,87.187,87.443,87.689,87.926,88.155,88.375,88.586,88.79,88.986,89.175
Chi,CHN,28.2,29.103,30.024,30.961,31.916,32.883,33.867,34.865,35.877,37.093,38.425,39.776,41.144,42.522,43.868,45.199,46.539,47.88,49.226,50.573,51.889,53.168
