Country Name,Country Code,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Belgium,BEL,0.405713496,0.390638518,0.308197074,0.209436838,0.195393176,0.241991885,0.213527651,0.229189103,0.242517956,0.343951158,0.448268895,0.418641508,0.432788248,0.550055708,0.659558215,0.734330831,0.789976845,0.804599573,0.913639392,1.386849113,0.726031655,0.489184301
Belize,BLZ,1.657330228,1.680926253,2.035167277,2.58628354,3.19162875,3.645856627,3.84249866,3.72289234,3.408673211,3.056970956,2.789479209,2.60867665,2.550682375,2.57234884,2.603495305,2.597769112,2.567925042,2.502993156,2.418241811,2.330768292,2.256891106,2.198943059
Benin,BEN,3.706619078,3.726379411,3.59560508,3.378784956,3.135602655,2.951061515,2.869657023,2.920328452,3.051766146,3.193992499,3.288009299,3.32829034,3.299082005,3.223668816,3.144175251,3.077784219,3.007811877,2.93695816,2.867447847,2.795457664,2.72747256,2.674807796
Bermuda,BMU,-0.721776995,0.537588531,0.695976914,0.718138908,0.641047099,0.612017496,0.737226639,0.561180119,0.894182916,1.085181052,0.652758223,0.656472533,0.655349388,0.649513649,0.575178477,0.565689754,0.593330046,0.55612581,-0.780059723,-0.859898041,0.362431076,0.313281274
Bhutan,BTN,-1.240744094,-1.764821358,-1.449217728,-0.487122623,0.68150437,1.653003783,2.387959712,2.751092492,2.840451475,2.899315809,2.991560471,2.972162853,2.840340006,2.634044667,2.39101038,2.158359835,1.964375993,1.83064949,1.738886845,1.652370276,1.553599543,1.458432042
Bolivia,BOL,1.970834565,1.973265555,1.974379522,1.973320989,1.972419509,1.968398148,1.955096007,1.930509933,1.898130988,1.863525357,1.830576524,1.798939164,1.769858147,1.742858867,1.715965239,1.689102492,1.664138907,1.641499114,1.620665075,1.600245545,1.580226809,1.561845764
Bosnia and Herzegovina,BIH,-3.12939947,-3.790921404,-3.662114752,-2.87074308,-1.784953801,-0.824642028,-0.091486035,0.224621197,0.22406505,0.180938789,0.226075116,0.235153525,0.223964318,0.195972279,0.133656942,0.049850748,-0.017421496,-0.052543277,-0.064485946,-0.076895311,-0.10158303,-0.127705994
Botswana,BWA,2.802077825,2.695575171,2.551815703,2.385404875,2.229369916,2.088621951,1.94142183,1.78697728,1.637855714,1.483375823,1.360382728,1.321413347,1.38843124,1.527320835,1.684653987,1.817042848,1.920641283,1.979698765,2.003448971,2.024220198,2.042259924,2.027669106
Brazil,BRA,1.59730289,1.553849362,1.539482098,1.544566818,1.553475678,1.555075397,1.550011555,1.534401721,1.509387698,1.486708135,1.461195284,1.415948328,1.34637133,1.261578257,1.170442045,1.088080503,1.024472074,0.986850983,0.967796558,0.953765381,0.935181982,0.913687864
British Virgin Islands,VGB,2.368838886,2.037567281,1.963644533,2.050735317,2.195530901,2.288573534,2.338808011,2.305173228,2.238698407,2.128045797,2.079057451,2.159514198,2.416032017,2.761240473,3.139795271,3.400611372,3.45293446,3.250756902,2.880604592,2.477951524,2.144825825,1.900385493
